약어,원어,설명,참고자료
IRE,Initial Risk Evaluation,"부품 초기위험도 평가. 부품제조공정승인(PSO) 및 초도양산부품인증(FPSC)업무 등 사전품질확보 수행단계에서 중요부품에 대한 집중관리를 하기 위하여 제품기획 단계에서 부품별 초기위험도 평가를 통해 부품 중요도를 高,中,低로 구분하는 것이다.",-
IRS,INDEPENDENT REAR SUSPENSION,후륜 독립 서스펜션.,-
IS,INSIDE,내경.,-
ISA,IDLE SPEED ACTUATOR,공회전 속도 조절 장치. ECU에서의 신호에 의하여 공기 흡입 호스와 서지 탱크에 연결된 BY-PASS 통로를 여닫는 액츄에이터에 의해 공기의 양이 조절되어 공회전 속도가 제어된다.,-
ISA,INTELLIGENT SPEED ADAPTATION,도로상의 무선 송신 장치의 제한 속도를 수신하여 차량의 속도를 강제로 제한하여 교통사고를 예방하는 시스템,-
ISC,IDLE SPEED CONTROL,엔진의 공회전 속도를 제어하는 장치. 엔진의 부하 상태 정보를 ECU에서 입수 및 적정 조건을 산출하여 트로틀 밸브를 개폐하여 IDLE을 조정하는 기능.,-
ISC MTR,IDLE SPEED CONTROL MOTOR,ECU의 신호에 의한 공전 속도 제어용 모타.,-
ISC SERVO,IDLE SPEED CONTROL SERVO,"트로틀 밸브를 BY-PASS하는 별도의 공기 통로에 설치되어 STEP MOTOR로 통로를 열고 닫음으로서 RPM을 조절할 수 있도록 ECU에서 제어됨. 이 시스템 모타는 전진, 후진 방향 설정이 자유롭고, ECU의 신호에 의해 매우 민첩하게 작동 되므로 MPS와 같은 FEED BACK SENSOR 등이",-
ISCA,IDLE SPEED CONTROL ACTURATOR,엔진의 공회전 속도를 제어하는 장치. 엔진의 부하 상태 정보를 ECU에서 입수 및 적정 조건을 산출하여 트로틀 밸브를 개폐하여 IDLE을 조정하는 기능.,-
ISG,IDLE STOP & GO,정차시 엔진OFF를 통한 연비 개선 및 CO2 배출량 감소 ->연비 개선 및 유럽지역 세제 혜택부여로 인해 적용 확대 추세,-
ISIR,INITIAL SAMPLE INSPECTION REPORT,"초도 부품 검사 성적서.모든 부품에 해당하는 것으로 신뢰성,검사협정 보증을 말함. ESIR을 거쳐 설계 및 제품에 검증을 마치게 되면, 양산용으로 금형을 신규로 제작한뒤, 양산제품을 생산하게 된다. 이때 고객사에 양산품에 대한 검증자료로서 제출하는 것이 ISIR이다",-
ISLA,Intelligent Speed Limit Assist,지능형 속도제한 보조시스템. 전방 카메라 또는 내비게이션의 제한속도 정보를 초과해 주행 시 경고. 수동 속도 제한 보조 (MSLA) 또는 스마트 크루즈 컨트롤 (SCC) 작동 시 운전자가 +/- 스위치를 조작해 제한속도에 맞춰 설정속도를 변경하는 기능을 제공,-
ISLW,Intelligent Speed Limit Warning,지능형 속도제한 경고,-
ISLW,Intelligent Speed Limit Warning,-,-
ISO,INTERNATIONAL STANDARDIZATION ORGANIZATION,"국제 표준화 기구.국제 규격의 제정, 보급 및 제품/서비스의 국제적 교환을 촉진하기 위해 설립된 기구 (UN 산하기구)",-
ISU,INTELIZENT SW UNIT,시멘스사가 개발한 J/BOX를 대신할수 있는 DEVICE.,-
ITC,INTERCHANGABILITY INCORPORATED,호환성. 설계 변동시 신형과 구형 부품간의 공동 사용 결정.,-
ITM,Integrated Thermal Management,통합유량제어밸브. 자동차 엔진을 통과한 냉각수의 배출량과 배출 방향을 조절하는 시스템.,-
ITMS,Integrated Thermal Management System,통합열관리모듈. 엔진의 온도를 신속하게 조절해 연비를 높이고 엔진 내구성 및 가속 성능을 개선.,-
IVI,In-Vehicle Infotainment,정보를 뜻하는 인포메이션(Information)과 오락을 뜻하는 엔터테인먼트(Entertainment)의 합성어로 운전자에게 여러 정보와 오락 기능을 동시에 제공하는 시스템.,-
IVIS,In Vehicle Information System,"차내 정보 시스템. 휴대폰, 내비게이션, 멀티미디어 기기 등의 다양한 기기들을 하나의 시스템으로 통합하여 효과적으로 조작하고 표시할 수 있는 차량 내 정보시스템.",-
IVT,Intelligent Variable Transmission,지능형 가변 변속기 - 현대가 자사에서 만든 CVT(Continuously Variable Transmission). 동력 전달을 해주는 벨트가 고무에서 체인으로 바뀌어서 내구성을 높임.,-
IWCU,Intergrated Washer Control Unit,자율주행 센서의 외부 오염을 방지하기 위한 와셔 분사 시스템,-
J.D.POWER AND ASSOCIATES,J.D.POWER AND ASSOCIATES,제이디파워사. 자동차관련 소비자 만족도 조사를 전문적으로 실시하는 회사,-
J/BLOCK,JUNCTION BLOCK,회로 접속 박스.,-
J/BOX,JUNCTION BOX,"회로 접속 박스.회로의 전원, 신호 분배를 하나에 집약 시켜 놓은 장치.",-
JACV,JET AIR CONTROL VALVE,과속시 젯트 에어 역류 방지.,-
JAKE BRAKE,-,INTARDER와 동일,-
JASO,JAPANESE AUTOMOTIVE STANDARD ORGANIZATION,일본 자동차 규격.,-
JIS,JAPANESE INDUSTRIAL STANDARDS,일본 공업 규격.,-
JIS,JAPEANSE INDUSTRIAL STANDARD,일본 공업 규격,-
JMS,JET MIXTURE SOLENOID VALVE,각 운전 MODE에 따라 규정된 비율로 솔레노이드를 구동하여 연료를 공급.,-
JNT,JOINT,이음매.,-
JOINT CONN,JOINT CONNECTOR,조인트 콘넥터,-
JPT CONN,JUNIOR POWER TIMER CONNECTORS,엔진 부위에 사용되는 방수 컨넥터로써 터미널은 스텐네스로 코팅되어 진동등의 물리적 영향을 적게 받아 전류공급을 원활히 한다.,-
JUDDER,JUDDER,"디스크의 DTV, R/OUT과다, 열변형, 이상마모 등에 의해 발생되는 제동토크의 변화로 제동시 스티어링 휠, 브레이크 페달, 차체가 진동하는 현상",-
K/BOL,KNEE BOLSTER(무릎 구속 장치),차량 충돌시 운전석/조수석 승객의 무릎 부위를 구속하여 승객이 받는 에너지를 줄여 상해치를 줄이는 장치.,-
K/D SW,KICK DOWN SWITCH,"갑자기 엑셀레이터를 밟을때 급발진을 막아 저속으로 기어를 변환하는 스윗치. K/D BAND BRAKE가 작동하기 전에 위치를 검출, K/D시의 응답을 좋게 하기 위하여 K/D BRAKE 작동 전까지는 K/D 서브에 높은 유압을 보내 작동 시간을 줄이고 그 이후는 적정한 유압으로 작동하여",-
K/LESS CHK,KEY LESS CHECKER,무선 송신기를 이용하여 문을 잠그며 또한 경계상태로 들어가 문을 강제적으로 열려고 할 경우,-
K/LESS ENTRY,KEY LESS ENTRY,무선송신기를 이용하여 문을 개폐시키는 장치.,-
K/LESS RECEIVER,KEY LESS ENTRY RECEIVER,경보음이 울리고 시동이 걸리지 않는 도난 방지 경보 시스템이 적용되어 있음.,-
KAB,Knee AirBag,칵핏모듈 하단에 장착되어 차량 정면 충돌시 탑승자의의 무릎을 보호 하는 역할,-
KATRI,KOREA AUTOMOBILE TESTING AND RESEARCH INSTITUTE,"자동차성능시험 연구소. 자동차관련 연구 및 기술개발을 통하여 국내자동차 관련 산업의 기술 정보 지원, 정부정책 및 자동차관련법개정을 위한 기술지원, 공인시험 및 평가 기관으로서 건교부 지시를 받고 결함 조사도 실시하고 있음",-
KD,KNOCK DOWN,"완성차의 부품을 일부 분해하여 수출, 수입하는 방식.",-
KD PART,KNOCK DOWN PART,외국에서 수입하는 부품,-
KDQR,KNOCK DOWN QUALITY REPORT,KD 품질보고서,-
KEY OPERATED WARNING,-,IGNITION KEY를 KEY SET에 꼽은 상태에서 DOOR를 열 경우 CHIME BELL 작동.,-
KEY SOL,KEY SOLENOID,키 솔레노이드,-
KEYINTER LOCK DEVICE,KEYINTER LOCK DEVICE,"AT차의 키에 부착되어 있는 기구로서, 인터록은 서로 짝을 이루는것을 의미하며, 주차하였을 때 시프트 레버를 파킹(P)의 위치에 넣지 않으면 키 스위치가 빠지지 않고, 키 스위치를 빼면 시프트레버가 P위치에 고정되는 구조. AT차가 주차중에 움직이지 않도록 하기 위한 것.",-
KEYLESS ENTRY SYSTEM,-,REMOCON으로 DOOR를 LOCK/UNLOCK 할 수 있는 장치.,-
KICK BACK,KICK BACK,노면으로 부터의 충격이 스티어링 휠에 전달되는것. 랙&피니언의 경우 특히 이런 경향이 강하지만 이것은 시스템 구조적으로 역방향의 힘을 전달하는 가역성에 의한 것이다.,-
Kick off,-,킥 오프. 프로젝트 팀과 고객과의 처음 가지는 모임. 통상 그 프로젝트와 기타 프로젝트 계획 입안에 필요한 기본요소들을 확정함.,-
KIT,-,ROOT PARTS(기초 부품)에 대한 공급 단위.,-
KNEELING,-,"장애인이나 노약자가 버스에 승,하차시 입구의 계단이 보도의 높이에 맞춰 내려와 휠체어나 노약자의 승,하차를 용이하게 하기 위한 장치.",-
KNOCK SNSR,KNOCK SENSOR,Knocking(진동) 검출기. Sylinder Block에 부착되어 Block에 전해지는 Knocking(비정상 연소에 따른 온도 상승으로 발생되는 소음이나 압력)의 진동을 압전 효과를 이용하여 감지하고 전기 신호로 변환하여 ECU로 전송.,-
KOBD,KOREAN ON BOARD DIAGNOSTICS,"자동차 배출가스 관련부품의 오작동으로 인해 배출가스가 증가할 경우, 차내 계기판의 정비지시등(Check Engine등)을 점등시켜 운전자에게 알려주는 장치",-
KPH,KELO-METER PER HOUR,매 시간당 주행 거리를 KM로 표시,-
KPI,KEY PERFORMANCE INDICATOR,"핵심 성과 지표,기업의 전략을 달성하기 위한 활동의 성과를 측정하는 지표로서, 성과 도출이 미진한 경우 이의 원인이 무엇인지를 신속하게 파악하여 개선 조치가 이루어질 수 있도록 한다.",-
KS,KOREA STANDARD,한국 공업 규격.,-
L/AIR PRESS BZ,LOW AIR PRESSURE BUZZER,AIR TANK의 압력이 떨어지면 싸이트 정지시나 브레이크 작동 등 다른 여러 시스템에 문제를 야기시키므로 미리 이를 경고하여 압력이 떨어지지 않도록 하는 기능.,-
L/B,LONG WHEEL BASE(장축),휠(WHEEL) 베이스가 단축(SHORT BODY)보다 크게 변경 개발,-
L/C,LONG CARGO,장축 카고,-
L/L,LOAD LIMITER(에너지 흡수 장치),차량 충돌시 일정 이상의 힘이 S/BELT에 가해지면 WEBB'G을 풀어주어 에너지를 흡수하는 장치.,-
L/L L1,LONG LEAD L1,장기적인 설계(기본 윤곽) L1 도면은 설계를 고려한 Part 구성 및 기본단면을 3차원으로 작성한 도면을 의미한다.,-
L/L L2,LONG LEAD L2,"장기적인 설계(와이어 프레임, SURFACE) L2도면은 상관 Part와의 조립을 고려한 개략적인 제품의 형상을 3차원으로 작성한 도면을 의미한다.",-
L/L L3,LONG LEAD L3,장기적인 설계(FACE 및 SOLID 처리) L3 도면은 중요부위(Mounting) Fillet 생성 및 Trimmed Surface를 3차원으로 작성한 도면을 의미한다.,-
L/L L4,LONG LEAD L4,"장기적인 설계(FORM TOOL을 이용하여 FACE, SOLID DATA를 최종마무리하는 것) L3도면은 완전한 제품 형상을 3차원으로 표현한 도면을 의미한다.",-
L/MONITOR BUZZ,LIGHTING MONITOR BUZZER,전조등을 켜 놓았으면 신호해주는 장치.,-
L/P SW,LOW PRESSURE SWITCH,저압 스윗치.,-
L/UP CHKR,LOCK UP CHECKER,2단에서 1단으로 다운 시프트는 하지만 1단으로부터 2단 또는 2단으로 업 시프트는 할 수 없도록 한 장치.,-
LADAR,LAser Detection And Ranging,레이다 시스템. 레이저를 표적에 조사(照射)한 후 반사광 으로부터 획득한 표적까지의 거리 정보와 방위각/고각을 포함한 표적의 3차원 영상정보를 얻을 수 있는 능동형 전자광학장비.,-
LAMBDA SNSR,LAMBDA SNSR,LAMBDA는 공연비 센서라고도 하며 가솔린에서의 산소센서와 같은 역할을 한다.,-
LAP BELT SW,LAP BELT SWITCH,무릎 안전 벨트 스윗치.,-
LAP RETRACTOR,LAP RETRACTOR,무릎 안전 벨트 장치.,-
LASHING HOOK,-,VAN 차량 화물칸 FLOOR부 화물 고정용 ROPE 끼우는 고리.,-
Lb,LIBRA,파운드 무게 단위.,-
LBA-D,Low Beam Assist-Dynamic,하향등 제어 보조 시스템 (로우빔 보조-가변형). 야간 및 저조도 환경에서 전방 가시거리를 최대한 확보하기 위해 차량의 추가 램프 작동 여부를 결정하고 로우빔의 방향을 제어해주는 주행안전 시스템,-
LBA-D,Low Beam Assist-Dynamic,-,-
LBA-S,Low Beam Assist-Static,로우빔 보조-고정형,-
LBA-S,Low Beam Assist-Static,-,-
LBS,LAP BUCKLE SWITCH,PASSIVE S/BELT의 BELT 스윗치.,-
LCD,LIQUID CRYSTAL DISPLAY,액정 화면 표시.,-
LCL,Longitudinal Conversion Loss,(EMC 용어) 종 방향 변환 손실. 입력된 차동모드 신호와 케이블에서 발생된 공통모드 신호의 비 - 회로망에 연결된 리드에서 종(비대칭) 신호의 존재로 인한 원하지 않는 횡(대칭모드) 신호가 발생되는 정도를 나타내는 척도. Ref) LCTL,-
LCO,"LiCoO2, Lithium Cobalt Oxide","리튬산화코발트 계열 배터리. 층상 구조를 가지고 있고 전류를 통하면 충전과 방전 과정에서 산화, 환원 가역 반응을 하는 물질",-
LCTL,Longitudinal Conversion Transmission Loss,(EMC 용어) 종 방향 변환 전송 손실. 입력단의 차동모드 신호와 출력단의 공통모드 신호의 비율로 나타냄. Ref) LCL,-
LCU,Light Control Unit,"조명제어시스템의 구성품으로, 상위의 중앙관제장치와 MCU, 하위의 LCU 를 연결하는 기기.",-
LCV,LIGHT COMMERCIAL VEHICLE,경상용차(총 중량이 3.5 미터 톤 이하인 상용 운반 차). 승객보다는 화물 운반을 목적으로 하는 차.,-
LD,LOCKING DIFFERENTIAL,"차동제한장치. 차량의 좌우 구동륜간 노면 마찰력 차이가 과다한경우(한쪽 바퀴가 진흙탕에 빠진경우) 노면 마찰력이 작은쪽 바퀴를 구속하여 험로탈출성을 향상시킨 차동장치. 작동원리는 후륜 좌우바퀴의 회전 수 차이가 100RPM 이상 발생시(눈길, 웅덩이, 빗길 등 조건), 후륜 축을 완전 일체화 하여 양쪽 후륜 바퀴에 최대의 견인력을 제공함으로써 탈출성능을 대폭 향상시킴",-
LDC,LOW VOLTAGE DC/DC CONVERTER,"고전압 배터리에서 12V 저전압 배터리로 변환시켜 주기 위한 컨버터 시스템. 자동차의 대부분 부품들 (전조등, 와이퍼, 펌프, 제어보드 등) 은 12V에서 동작.",-
LDM,LED Driver Module,LED 광원에 전류를 공급하여 제어하는 전장품. Sequential Turn Signal 등 다양한 기능 구현.,-
LDO,Low Drop-Output,저손실 타입 리니어 레귤레이터. 낮은 입출력 전위차에서도 동작하는 리니어 레귤레이터.DC/DC 컨버터와 달리 레귤레이팅 할 때 전압강하가 작으며 리플(Ripple)이 작다는 장점이 있음.,-
LDW,Lane Departure Warning,"차선 이탈 경고 시스템. 주행 중 사고를 미리 방지하기 위해 차량이 차로를 이탈한다고 판단되는 경우, 진동이나 소리 등으로 운전자에게 위험을 경고해주는 주행안전 시스템.",-
LDW,Lane Departure Warning,-,-
LDWS,LANE DEPARTURE WARNING SYSTEM,차선이탈 경보장치 전방 카메라를 이용하여 의도하지 않은 차선 이탈 (Lane Departure)을 감지하여 운전자에 대한 시청각적 경고 (Warning)를 수행함으로써 차선 이탈을 경고하는 Safety System,-
LED,LIGHT EMITTING DIODE,발광 다이오드.,-
LEV,LOW EMISSION VEHICLE,"저공해차. 캘리포니아 배기 규제 단계 중의 하나로써, NMOG 0.075g/mile 규제를 만족하는 차량. 2003년까지 미국에서 적용된 가솔린 배기 규제",-
LFA,Lane Following Assist,차로 유지 보조,-
LFA,Lane Following Assist,-,-
LFD,LETER FORCE DEVIATION,타이어의 광방향 힘의 평균치.,-
LFP,"LiFePO4, Lithium Iron Phosphate","리튬인산철 계열 배터리.올리빈 구조를 가지고 있어서 안정적이며, 결정구조가 연화되는 현상이 적어 수명이 길지만 리튬 이온 확산 속도가 낮아 전기 전도성이 낮음.",-
LFV,LETER FORCE VARIATION,타이어의 광방향 힘의 최대치.,-
L'G VALVE,LEVELING VALVE,주행중 CAB 상하운동에 의한 CAB 높이변화시 AIR 흡입 방출로 CAB 높이를 유지하는 VALVE,-
LH,LEFT HANDLE,차량의 왼쪽 방향을 가리킴.,-
LH FR DR,LEFT HANDLE FRONT DOOR,왼쪽 앞문.,-
LH FR DR SW,LEFT HANDLE FRONT DOOR SWITCH,왼쪽 앞문 스윗치.,-
LH H/LP,LEFT HANDLE HEAD LAMP,왼쪽 전조등.,-
LH HORN,LEFT HANDLE HORN,왼쪽 경보기.,-
LH RR DR,LEFT HANDLE REAR DOOR,왼쪽 뒷문.,-
LH RR DR SW,LEFT HANDLE REAR DOOR SWITCH,왼쪽 뒷문 스윗치.,-
LH S/REP LP,LEFT HANDLE SIDE REPEATER LAMP,왼쪽 사이드에 부착되는 T/SIG LP.,-
LH SPKR,LEFT HANDLE SPEAKER,왼쪽 스피커.,-
LH T/SIG LP,LEFT HANDLE TURN SIGNAL LAMP,좌측 방향 지시등,-
LHD,LEFT HANDLE DRIVE,운전대가 왼쪽에 있는 차량.,-
LICENSE LAMP,-,번호판 조명등. 야간 주행시 번호판을 식별할 수 있도록 부착된 조명등.,-
LIDAR,Light Imaging Detection And Ranging,광원'과 수신기를 사용하여 원격의 개체를 탐지하고 거리를 측정하는 센싱 기술. 방출된 광 펄스가 물체에 부딪쳐 반사되어 LIDAR 시스템으로 돌아오면 수신기가 돌아온 광 펄스를 감지함.,-
LIDAR,Light Imaging Detection And Ranging,레이져(광학)를 이용하여 주행 환경의 물체의 형상과 배치를 파악할 수 있는 자율주행 제어기,-
LIGHTING WIPER SW,LIGHTING WIPER SWITCH,"핸들 아래쪽에 위치하여 각종 램프 및 와이퍼, 와샤 조작 스윗치.",-
LIMOUSINE,LIMOUSINE,승용차의 길이와 크기를 늘려 운전석과 뒷좌석 사이에 유리 칸막이를 한 호화모델. 주로 VIP용으로 쓰인다.,-
LIN,LOCAL INTERCONNECT NETWORK,"일방향 통신으로써 수신, 또는 송신의 기능밖에 없으며, CAN에 비해 저가이며, M/F SW, DRIVER SAFETY P/WDW ECU, ASSIST SAFETY P/WDW ECU등에 적용한다.",-
LINEARITY,LINEARITY,-,-
LKA,Lane Keeping Assist,차로 이탈방지 보조 시스템. LDW의 기능이 확장된 시스템으로 차로 이탈로 인한 위험을 감지했을 때 경고뿐만 아니라 조향까지 제어해주는 주행안전 시스템.,-
LKA-L,Lane Keeping Assist-Line,차로 이탈방지 보조-차선,-
LKA-L,Lane Keeping Assist-Line,-,-
LKA-R,Lane Keeping Assist-Road-Edge,차로 이탈방지 보조-도로경계,-
LKA-R,Lane Keeping Assist-Road-Edge,-,-
LKAS,LANE KEEPING ASSIST SYSTEM,차선유지보조장치 전방 카메라를 이용하여 의도하지 않은 차선 이탈 감지하여 MDPS를 이용한 Haptic Feedback을 수행함으로써 차선 유지 (Lane Keeping)를 보조 (Assist)하는 Safety System,-
LNG,LIQUEIFIED NATARAL GAS,액화 천연 가스(NGV 참조),-
LNT,Lean NOx Trap,질소산화물 흡장촉매 장치.,-
LO,LAY OUT,시설 설비의 배치.,-
LOAD LIMIT,LOAD LIMIT,안전벨트로 인한 승차자의 가슴 부위상해를 최소화 하는 장치로 안전벨트에 가해 지는 하중이 규정이상 발생시 안전벨트를 일정량만큼 줄여 주는 장치,-
LOT,-,동일재료로 동일시점에 동일한 조건에서 같은 방법으로 만들어진 제품의 무리.,-
LOUVER,-,AIR CONDITION AIR 토출 GRILLE(조절식),-
LP,LAMP,조명등.,-
LP,LOCAL PART,국내 개발품.,-
LPB,LIST OF PARTS BASIS,기초 부품 목록.,-
LPG,LIQUEFIED PETROLEUM GAS,액화 석유가스.,-
LPG CUT SOL,LIQUEFIED PETROLEUM GAS CUT SOLENOID,액화 석유 가스.,-
LPG GAUGE,LIQUEFIED PETROLEUM GAS GAUGE,액화 천연가스의 양을 측정해 표시해 주는 장치.,-
LPG SW,LIQUEFIED PETROLEUM GAS SWITCH,LPG 스윗치.,-
LPI,LIQUID PETROLEUM INJECTION,LPG연료를 고압액상(5~15bar)으로 유지한 후 ECU제어로 INJECTOR를 통해 기통별로 분사하는 방식,-
LPI,LIQUID PROPANE INJECTION,간단히 설명하면 지금까지 국내에서 LPG엔진은 기화기에서 기화한 LPG를 Mixer에서 공기와 혼합후 엔진에 흡입하여 연소시켰습니다만 LPi엔진에서는 액체상태로 엔진에 분사하여 연소시킴으로써 출력향상 및 배출가스 감소 등의 효과를 얻을 수 있습니다.,-
LPL,License Plate Lamp,라이센스 램프. 야간 운행 시 차량 번호판 알림,-
LRO,LATERAL RUN OUT,횡방향흔들림. TIRE의 횡방향 흔들림의 크기,-
LSD,LIMITED SLIP DIFFERENTIAL,"공회전 방지 장치(차동 제한 장치부). LSD는 포터, 스타렉스 차량에 많이 장착되는 옵션으로 눈길, 모래길과 같은 곳을 주행할 때 한 쪽 타이어가 빠져 나오지 못할 경우 다른 한 쪽 바퀴에 동력이 전달 되어 쉽게 빠져 나올 수 있도록 고안된 동력 보조 장치입니다.",-
LSI,LARGE SCALE INTEGATION,대규모 집적회로,-
LSPV,LOAD SENSING PROPORTIONING VALVE,감압밸브. ABS 미장착 화물/승합 차량에서 화물/승객의 적재 중량을 감지하여 후륜 브레이크 작동 유압의 감압비를 조정해서 제동 안정성을 확보 해주는 장치,-
LT,LIGHT-TRACK,경 트럭.,-
LTS,LEAD TIME STOCK,기간 재고. 부품이 발주되어 입고시까지 기간중에 발생되는 수요를 충족시키기 위한 재고.,-
LUGG LP,LUGGAGE LAMP,트렁크 룸 조명등.,-
LUGGAGE CAPACITY,-,각종 규격의 BOX가 BOOT에 들거갈 때 BOX 전체의 용적. 일반적으로 북미 경우 SAE. 기타지역 VDA 정의를 이용한다.,-
LVDS,Low-Voltage Differential Signaling,저전압 차등신호. 저렴한 연선 구리 케이블에 고속으로 동작이 가능한 전기적 신호 시스템.,-
LVS,Low Voltage System,저전압 시스템. 리튬이온 배터리를 이용해 일반 자동차에서도 납축 배터리를 대체하거나 납축 배터리에 추가 장착하는 방식으로 사용할 수 있는 저전압 배터리 시스템 (일반 자동차의 납축 배터리는 12V 전압을 쓰는데 LVS를 사용하면 48V까지 높일 수 있음),-
LWR,LOWER,하부.,-
LX,LUX,조도의 단위. 럭스.,-
M/CAR,MASTER CAR,설계 개선안이 반영된 Proto 최종 모델. 개발 품질목표를 만족하고 실제 양산 조립 시 판매 가능한 수준으로 제작된 시작차량을 의미한다.,-
M/CYL,MASTER CYLINDER,BRAKE 액압을 발생시키는 장치.,-
M/F SW,MULTI FUNCTION SWITCH(COLUMN SWITCH),"다기능 스윗치. LIGHTING, T/SIG, HORN, WIPER, CRUISE 등을 작동 시키는 스윗치.",-
M/H ANT,MICRO-HELIX ANTENNA,장방형 PCB 기판에 지그재그로 도체가 형성되어 있는 증폭형 안테나,-
M/LP,MARKER LAMP,야간 운행시 차량의 높이및 폭을 상대방 운전자가 알아 볼수 있도록 해주는 표시등.,-
M/R,MASTER CAR,설계 개선안이 반영된 PROTO 최종 모델.,-
M/T,MANUAL TRANSMISSION,수동 변속기.,-
M+S,MUD AND SNOW,사계절용. 사계절용 타이어란 표시,-
M1,-,연구소 파일럿동에서 사용한 설비 및 지그를 양산공장으로 이관하여 양산공장에서 오프라인 및 인라인 생산훈련을 통한 공정원의 작업 숙지 단계이다. 부품 투입조건은 P2 품확치 동일 수준으로 P2 품질수준을 확인하다.,-
M2,-,"P1, P2 단계의 문제점, 대책, 조치결과를 최종 확인하는 단계로 완성차의 품질, 설비, 치구와 양산성을 최종적으로 확인함을 의미한다",-
MAB,MULTI AIR BAG,"전, 측면의 충격을 방지하는 다중 AIR BAG.",-
MACH,MACHINE,기계.,-
MAF SNSR,MASS AIR FLOW SENSOR,공기량 센서.,-
MAG/VALVE,MAGNETIC VALVE,CAB TILT'G시 AIR 흐름을 차단하여 정속 CAB TILT'G 할 수 있도록 AIR를 제어하는 VALVE,-
MAHS,Motor Assist Hydraulic Steering,자제어 시스템의 판단에 따라 자율주행 대형트럭의 조향 각도를 정밀하게 제어하는 시스템.,-
MAIN HARN,MAIN WIRING HARNESS,메인 하네스,-
MAIN HARN EXTN,MAIN WIRING HARNESS EXTENSION,메인 하네스 익스텐션,-
MAIN RLY,MAIN RELAY,제어 릴레이. 각종 전기부품에 전원을 공급/차단하여 전류의 흐름 상태를 제어하여 부품을 보호하는 릴레이.(CONT 및 시동관련 회로들),-
MAIN WIRG CONN,MAIN WIRING CONNECTOR,메인 와이어링 콘넥터,-
MAIN-AMP,-,AUDIO의 2차 증폭부로서 음질과 밀접하게 관계됨.,-
MANAGEMENT REVIEW,MANAGEMENT REVIEW,"품질방침, 품질목표와 관련하여 최고경영자가 품질시스템의 적합성과 상태를 공식적으로 평가하는 것",-
MANUFACTURING PROCESS DIAGRAM,MANUFACTURING PROCESS DIAGRAM,-,-
MAP,MANIFOLD ABSOLUTE PRESSURE,공기압센서. Intake manifold내의 압력을 측정하는 센서,-
MAP LP,MAP LAMP,지도 식별용 조명등. (앞좌석 천정에 장착됨.),-
MAP SNSR,Manifold Absolute Pressure sensor,"흡입기관에서 공기와 연료의 혼합 가스 압력을 감지, 이를 통해 ECU에서 흡입 공기량을 산출하여 해당 부하에 적합한 인젝터의 기본 분사 시간을 결정.",-
MASKING,마스킹,인간의 가청주파수 밴드내의 특정주파수 성분이 부각 또는 소멸되는 현상.,-
MASTER KEY,-,"통상 IGNITION 시동 및 DOOR,GL/BOX LOCK, T/LID등을 모두 개폐할 수 있는 KEY",-
MASTER SAMPLE,MASTER SAMPLE,-,-
MATL,MATERIAL,재질.,-
MAX,MAXIMUM,최대.,-
MBR,MEMBER,구성원.,-
MBUX,Mercedes-Benz User eXperience,-,-
MCA,Motor Clutch Actuator,기존 엔진과 변속기 사이 Clutch 구동모터가 있던 방식에서 일체형으로 변경된 개선 엑츄에이터,-
MCB,Multi Collision Brake,다중 충돌방지 자동 제동 시스템.,-
MCP,MASTER CONTROL POINT,"차체조립 정도 향상 및 산포 최소화를 위해 차체를 구성하는 단품 또는 SUB ASSY의 가장 중요한 기능 부위 및 가공 또는 조립시 정확한 고정이 되는 곳을 정해서 부품제작, JIG제작, 조립검사등 제품생산에 관련된 전부분에서 사용하는 일관된 기준 POINT를 말함.(JIG HOLE)",-
MCS,Megawatt Charging Standard,메가와트 충전 표준 시스템. 클래스 6~8급 대형트럭의 전기화를 위한 미래 충전표준.,-
MCS,Mobile Charging System,비상충전시스템.,-
MCU,Micro Controller Unit,마이크로 컨트롤러 유닛.,-
MCU,Motor Control Unit,모터 제어 유닛.,-
MD ENG,MODULATED DISPLACEMENT ENGINE,MMC가 독자 개발한 밸브 조정 장치를 내장한 엔진.,-
MDPS,MOTOR DRIVEN POWER STEERING,엔진동력을 이용하는 POWER STEERING PUMP를 삭제하고 전동 MOTOR를 이용하여 POWER STEERING기능 수행. 차의 주행조건과 운전자의 움직임을 감지해 주행 안정성을 높여주는 장치,-
ME,MORNING EFFECT,아침 수분 응축에의한 디스크 표면 마찰계수 변화에 의한 스퀼성 소음 대부문 디스크 온도 상승후 사라짐,-
MEA,Membrane Electricity Assembly,"막전극접합체. FCEV에서 수소 연료를 전기에너지로 바꾸기 위한 장치 중에 하나로, 수소 이온을 이동시켜주는 고분자 전해질막(Polymer Electrolyte Membrane), 전해질막의 양면에 백금 촉매를 도포하여 구성되는 촉매전극인 양극(Anode, 공기극)과 음극(Cathode, 연료극)으로 구성",-
MEASUREMENTS,MEASUREMENTS,양의 값을 결정하기 위한 일련의 작업,-
MEASUREMENTS TRACE ABILITY,MEASUREMENTS TRACE ABILITY,-,-
MEASURING INSTRUMENT,MEASURING INSTRUMENT,-,-
MEASURING SYSTEM,MEASURING SYSTEM,특정 측정을 수행하기 위해 조립된 측정 기기와 기타 장비의 완전한 조합,-
